ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10
0,0,0,0,0,0,0.164470364,0,0,0
0,0,0,0,0,0,0.164470364,0,0,0
0,0,0,0,0.255842788,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.383764182
0.135446182,0,0,0,0,0,0,0,0,0
0,0,0.276310211,0,0,0,0,0,0,0
0,0,0,0.255842788,0,0,0,0,0,0
0,0,0,0,0,0,0,0.255842788,0,0
0,0,0,0.255842788,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.383764182
0.135446182,0,0,0,0,0,0,0,0,0
0,0,0,0,0.178826435,0,0.229919702,0,0,0
0,0,0,0,0,0,0.164470364,0,0,0
0,0,0,0,0,0,0,0,0,0.383764182
0,0,0,0,0,0,0.164470364,0,0,0
0.135446182,0,0,0,0,0,0,0,0,0
0,0,0.092103404,0,0,0,0,0,0,0
0.135446182,0,0,0,0,0,0,0,0,0
0,0,0,0,0.255842788,0,0,0,0,0
0,0,0,0,0,0,0,0.255842788,0,0
0,0,0,0,0,0,0,0,0.328940728,0
0,0,0.184206807,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.328940728,0
0,0,0,0,0,0,0.164470364,0,0,0
0,0.328940728,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.164470364,0,0,0
0,0,0,0,0,0,0.164470364,0,0,0
0,0,0,0,0,0,0.164470364,0,0,0
0,0,0,0.255842788,0,0,0,0,0,0
0,0,0,0,0,0,0.164470364,0,0,0
0,0,0.092103404,0,0,0,0,0,0,0
0,0,0,0,0.255842788,0,0,0,0,0
0,0,0,0.255842788,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.328940728,0
0,0,0.064377516,0,0,0,0,0,0,0.268239652
0,0,0.276310211,0,0,0,0,0,0,0
0,0,0,0,0,0,0.164470364,0,0,0
0.135446182,0,0,0,0,0,0,0,0,0
0,0,0,0.255842788,0,0,0,0,0,0
0.135446182,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.328940728,0,0,0
0,0,0.184206807,0,0,0,0,0,0,0
0.135446182,0,0,0,0,0,0,0,0,0
0,0.328940728,0,0,0,0,0,0,0,0
0,0,0,0.255842788,0,0,0,0,0,0
0,0,0,0,0,0,0,0.255842788,0,0
0,0,0.092103404,0,0,0,0,0,0,0
0,0,0,0.255842788,0,0,0,0,0,0
0,0,0,0,0,2.302585093,0,0,0,0
0,0,0,0,0,0,0,0,0.328940728,0
0,0.328940728,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.255842788,0,0
0,0,0,0.255842788,0,0,0,0,0,0
0,0.328940728,0,0,0,0,0,0,0,0
0.135446182,0,0,0,0,0,0,0,0,0
0,0,0,0.255842788,0,0,0,0,0,0
0,0,0.092103404,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.383764182
0,0,0,0,0,0,0,0.255842788,0,0
0,0,0,0,0,0,0,0,0.328940728,0
0,0,0.184206807,0,0,0,0,0,0,0
0,0.328940728,0,0,0,0,0,0,0,0
0.189345637,0,0,0,0,0,0,0.178826435,0,0
0,0,0.064377516,0,0,0,0,0,0,0.268239652
0,0,0,0,0.255842788,0,0,0,0,0
0,0,0,0,0,0,0,0,0.328940728,0
